urllib3.connectionpool:DEBUG:2022-10-17 19:31:49,414:Starting new HTTPS connection (1): www.bestbuy.com:443
urllib3.connectionpool:DEBUG:2022-10-17 19:54:25,587:https://www.amazon.com:443 "GET /JVC-EXOFIELD-Personal-Multi-Channel-Surround/dp/B0899NS7NV/ref=sr_1_19?qid=1665223097&rnid=9977442011&s=electronics&sr=1-19 HTTP/1.1" 200 None
urllib3.connectionpool:DEBUG:2022-10-17 19:56:14,430:Starting new HTTPS connection (1): www.bestbuy.com:443
urllib3.connectionpool:DEBUG:2022-10-17 19:56:14,949:https://www.bestbuy.com:443 "GET /site/martinlogan-motion-4-90-watt-passive-2-way-center-channel-speaker-gloss-black/5870730.p?skuId=5870730 HTTP/1.1" 200 1652
urllib3.connectionpool:DEBUG:2022-10-17 19:56:14,958:Starting new HTTPS connection (1): www.amazon.com:443
urllib3.connectionpool:DEBUG:2022-10-17 19:56:16,100:https://www.amazon.com:443 "GET /JVC-EXOFIELD-Personal-Multi-Channel-Surround/dp/B0899NS7NV/ref=sr_1_19?qid=1665223097&rnid=9977442011&s=electronics&sr=1-19 HTTP/1.1" 200 None
urllib3.connectionpool:DEBUG:2022-10-17 19:57:22,216:Starting new HTTPS connection (1): www.bestbuy.com:443
urllib3.connectionpool:DEBUG:2022-10-17 19:57:22,525:https://www.bestbuy.com:443 "GET /site/martinlogan-motion-4-90-watt-passive-2-way-center-channel-speaker-gloss-black/5870730.p?skuId=5870730 HTTP/1.1" 200 1652
urllib3.connectionpool:DEBUG:2022-10-17 19:57:22,535:Starting new HTTPS connection (1): www.amazon.com:443
urllib3.connectionpool:DEBUG:2022-10-17 19:57:22,941:https://www.amazon.com:443 "GET /JVC-EXOFIELD-Personal-Multi-Channel-Surround/dp/B0899NS7NV/ref=sr_1_19?qid=1665223097&rnid=9977442011&s=electronics&sr=1-19 HTTP/1.1" 200 None
urllib3.connectionpool:DEBUG:2022-10-17 19:59:33,025:Starting new HTTPS connection (1): www.bestbuy.com:443
urllib3.connectionpool:DEBUG:2022-10-17 19:59:33,424:https://www.bestbuy.com:443 "GET /site/martinlogan-motion-4-90-watt-passive-2-way-center-channel-speaker-gloss-black/5870730.p?skuId=5870730 HTTP/1.1" 200 1652
urllib3.connectionpool:DEBUG:2022-10-17 19:59:33,435:Starting new HTTPS connection (1): www.amazon.com:443
urllib3.connectionpool:DEBUG:2022-10-17 19:59:33,887:https://www.amazon.com:443 "GET /JVC-EXOFIELD-Personal-Multi-Channel-Surround/dp/B0899NS7NV/ref=sr_1_19?qid=1665223097&rnid=9977442011&s=electronics&sr=1-19 HTTP/1.1" 200 None
urllib3.connectionpool:DEBUG:2022-10-17 20:02:31,924:Starting new HTTPS connection (1): www.bestbuy.com:443
urllib3.connectionpool:DEBUG:2022-10-17 20:02:39,032:https://www.bestbuy.com:443 "GET /site/martinlogan-motion-4-90-watt-passive-2-way-center-channel-speaker-gloss-black/5870730.p?skuId=5870730&intl=nosplash HTTP/1.1" 200 None
urllib3.connectionpool:DEBUG:2022-10-17 20:02:39,162:Starting new HTTPS connection (1): www.amazon.com:443
urllib3.connectionpool:DEBUG:2022-10-17 20:02:39,586:https://www.amazon.com:443 "GET /JVC-EXOFIELD-Personal-Multi-Channel-Surround/dp/B0899NS7NV/ref=sr_1_19?qid=1665223097&rnid=9977442011&s=electronics&sr=1-19 HTTP/1.1" 200 None
urllib3.connectionpool:DEBUG:2022-10-17 20:02:41,565:Starting new HTTPS connection (1): m.media-amazon.com:443
urllib3.connectionpool:DEBUG:2022-10-17 20:02:41,911:https://m.media-amazon.com:443 "GET /images/I/31yfLJJHpML._AC_US40_.jpg HTTP/1.1" 200 624
urllib3.connectionpool:DEBUG:2022-10-17 20:02:41,956:Starting new HTTPS connection (1): pisces.bbystatic.com:443
urllib3.connectionpool:DEBUG:2022-10-17 20:02:42,332:https://pisces.bbystatic.com:443 "GET /image2/BestBuy_US/images/products/5870/5870730_sd.jpg;maxHeight=54;maxWidth=54 HTTP/1.1" 403 396
PIL.Image:DEBUG:2022-10-17 20:02:42,333:Importing BlpImagePlugin
PIL.Image:DEBUG:2022-10-17 20:02:42,335:Importing BmpImagePlugin
PIL.Image:DEBUG:2022-10-17 20:02:42,335:Importing BufrStubImagePlugin
PIL.Image:DEBUG:2022-10-17 20:02:42,337:Importing CurImagePlugin
PIL.Image:DEBUG:2022-10-17 20:02:42,339:Importing DcxImagePlugin
PIL.Image:DEBUG:2022-10-17 20:02:42,341:Importing DdsImagePlugin
PIL.Image:DEBUG:2022-10-17 20:02:42,342:Importing EpsImagePlugin
PIL.Image:DEBUG:2022-10-17 20:02:42,395:Importing FitsImagePlugin
PIL.Image:DEBUG:2022-10-17 20:02:42,397:Importing FitsStubImagePlugin
PIL.Image:DEBUG:2022-10-17 20:02:42,398:Importing FliImagePlugin
PIL.Image:DEBUG:2022-10-17 20:02:42,399:Importing FpxImagePlugin
PIL.Image:DEBUG:2022-10-17 20:02:42,401:Image: failed to import FpxImagePlugin: No module named 'olefile'
PIL.Image:DEBUG:2022-10-17 20:02:42,401:Importing FtexImagePlugin
PIL.Image:DEBUG:2022-10-17 20:02:42,402:Importing GbrImagePlugin
PIL.Image:DEBUG:2022-10-17 20:02:42,403:Importing GifImagePlugin
PIL.Image:DEBUG:2022-10-17 20:02:42,403:Importing GribStubImagePlugin
PIL.Image:DEBUG:2022-10-17 20:02:42,404:Importing Hdf5StubImagePlugin
PIL.Image:DEBUG:2022-10-17 20:02:42,406:Importing IcnsImagePlugin
PIL.Image:DEBUG:2022-10-17 20:02:42,409:Importing IcoImagePlugin
PIL.Image:DEBUG:2022-10-17 20:02:42,410:Importing ImImagePlugin
PIL.Image:DEBUG:2022-10-17 20:02:42,411:Importing ImtImagePlugin
PIL.Image:DEBUG:2022-10-17 20:02:42,412:Importing IptcImagePlugin
PIL.Image:DEBUG:2022-10-17 20:02:42,413:Importing JpegImagePlugin
PIL.Image:DEBUG:2022-10-17 20:02:42,413:Importing Jpeg2KImagePlugin
PIL.Image:DEBUG:2022-10-17 20:02:42,413:Importing McIdasImagePlugin
PIL.Image:DEBUG:2022-10-17 20:02:42,414:Importing MicImagePlugin
PIL.Image:DEBUG:2022-10-17 20:02:42,416:Image: failed to import MicImagePlugin: No module named 'olefile'
PIL.Image:DEBUG:2022-10-17 20:02:42,416:Importing MpegImagePlugin
PIL.Image:DEBUG:2022-10-17 20:02:42,417:Importing MpoImagePlugin
PIL.Image:DEBUG:2022-10-17 20:02:42,418:Importing MspImagePlugin
PIL.Image:DEBUG:2022-10-17 20:02:42,419:Importing PalmImagePlugin
PIL.Image:DEBUG:2022-10-17 20:02:42,423:Importing PcdImagePlugin
PIL.Image:DEBUG:2022-10-17 20:02:42,424:Importing PcxImagePlugin
PIL.Image:DEBUG:2022-10-17 20:02:42,424:Importing PdfImagePlugin
PIL.Image:DEBUG:2022-10-17 20:02:42,431:Importing PixarImagePlugin
PIL.Image:DEBUG:2022-10-17 20:02:42,432:Importing PngImagePlugin
PIL.Image:DEBUG:2022-10-17 20:02:42,432:Importing PpmImagePlugin
PIL.Image:DEBUG:2022-10-17 20:02:42,432:Importing PsdImagePlugin
PIL.Image:DEBUG:2022-10-17 20:02:42,434:Importing SgiImagePlugin
PIL.Image:DEBUG:2022-10-17 20:02:42,435:Importing SpiderImagePlugin
PIL.Image:DEBUG:2022-10-17 20:02:42,436:Importing SunImagePlugin
PIL.Image:DEBUG:2022-10-17 20:02:42,438:Importing TgaImagePlugin
PIL.Image:DEBUG:2022-10-17 20:02:42,439:Importing TiffImagePlugin
PIL.Image:DEBUG:2022-10-17 20:02:42,439:Importing WebPImagePlugin
PIL.Image:DEBUG:2022-10-17 20:02:42,445:Importing WmfImagePlugin
PIL.Image:DEBUG:2022-10-17 20:02:42,446:Importing XbmImagePlugin
PIL.Image:DEBUG:2022-10-17 20:02:42,448:Importing XpmImagePlugin
PIL.Image:DEBUG:2022-10-17 20:02:42,449:Importing XVThumbImagePlugin
urllib3.connectionpool:DEBUG:2022-10-17 20:08:28,218:Starting new HTTPS connection (1): www.bestbuy.com:443
urllib3.connectionpool:DEBUG:2022-10-17 20:09:00,717:https://www.bestbuy.com:443 "GET /site/martinlogan-motion-4-90-watt-passive-2-way-center-channel-speaker-gloss-black/5870730.p?skuId=5870730&intl=nosplash HTTP/1.1" 200 None
urllib3.connectionpool:DEBUG:2022-10-17 20:09:01,024:Starting new HTTPS connection (1): www.amazon.com:443
urllib3.connectionpool:DEBUG:2022-10-17 20:09:01,434:https://www.amazon.com:443 "GET /JVC-EXOFIELD-Personal-Multi-Channel-Surround/dp/B0899NS7NV/ref=sr_1_19?qid=1665223097&rnid=9977442011&s=electronics&sr=1-19 HTTP/1.1" 200 None
urllib3.connectionpool:DEBUG:2022-10-17 20:09:03,485:Starting new HTTPS connection (1): m.media-amazon.com:443
urllib3.connectionpool:DEBUG:2022-10-17 20:09:03,889:https://m.media-amazon.com:443 "GET /images/I/31yfLJJHpML._AC_US40_.jpg HTTP/1.1" 200 624
urllib3.connectionpool:DEBUG:2022-10-17 20:09:03,917:Starting new HTTPS connection (1): pisces.bbystatic.com:443
urllib3.connectionpool:DEBUG:2022-10-17 20:09:04,095:https://pisces.bbystatic.com:443 "GET /image2/BestBuy_US/images/products/5870/5870730_sd.jpg;maxHeight=54;maxWidth=54&intl=nosplash HTTP/1.1" 403 418
PIL.Image:DEBUG:2022-10-17 20:09:04,096:Importing BlpImagePlugin
PIL.Image:DEBUG:2022-10-17 20:09:04,097:Importing BmpImagePlugin
PIL.Image:DEBUG:2022-10-17 20:09:04,098:Importing BufrStubImagePlugin
PIL.Image:DEBUG:2022-10-17 20:09:04,098:Importing CurImagePlugin
PIL.Image:DEBUG:2022-10-17 20:09:04,099:Importing DcxImagePlugin
PIL.Image:DEBUG:2022-10-17 20:09:04,100:Importing DdsImagePlugin
PIL.Image:DEBUG:2022-10-17 20:09:04,100:Importing EpsImagePlugin
PIL.Image:DEBUG:2022-10-17 20:09:04,139:Importing FitsImagePlugin
PIL.Image:DEBUG:2022-10-17 20:09:04,139:Importing FitsStubImagePlugin
PIL.Image:DEBUG:2022-10-17 20:09:04,140:Importing FliImagePlugin
PIL.Image:DEBUG:2022-10-17 20:09:04,140:Importing FpxImagePlugin
PIL.Image:DEBUG:2022-10-17 20:09:04,141:Image: failed to import FpxImagePlugin: No module named 'olefile'
PIL.Image:DEBUG:2022-10-17 20:09:04,142:Importing FtexImagePlugin
PIL.Image:DEBUG:2022-10-17 20:09:04,142:Importing GbrImagePlugin
PIL.Image:DEBUG:2022-10-17 20:09:04,143:Importing GifImagePlugin
PIL.Image:DEBUG:2022-10-17 20:09:04,143:Importing GribStubImagePlugin
PIL.Image:DEBUG:2022-10-17 20:09:04,143:Importing Hdf5StubImagePlugin
PIL.Image:DEBUG:2022-10-17 20:09:04,144:Importing IcnsImagePlugin
PIL.Image:DEBUG:2022-10-17 20:09:04,146:Importing IcoImagePlugin
PIL.Image:DEBUG:2022-10-17 20:09:04,146:Importing ImImagePlugin
PIL.Image:DEBUG:2022-10-17 20:09:04,147:Importing ImtImagePlugin
PIL.Image:DEBUG:2022-10-17 20:09:04,148:Importing IptcImagePlugin
PIL.Image:DEBUG:2022-10-17 20:09:04,148:Importing JpegImagePlugin
PIL.Image:DEBUG:2022-10-17 20:09:04,148:Importing Jpeg2KImagePlugin
PIL.Image:DEBUG:2022-10-17 20:09:04,148:Importing McIdasImagePlugin
PIL.Image:DEBUG:2022-10-17 20:09:04,149:Importing MicImagePlugin
PIL.Image:DEBUG:2022-10-17 20:09:04,150:Image: failed to import MicImagePlugin: No module named 'olefile'
PIL.Image:DEBUG:2022-10-17 20:09:04,150:Importing MpegImagePlugin
PIL.Image:DEBUG:2022-10-17 20:09:04,151:Importing MpoImagePlugin
PIL.Image:DEBUG:2022-10-17 20:09:04,151:Importing MspImagePlugin
PIL.Image:DEBUG:2022-10-17 20:09:04,152:Importing PalmImagePlugin
PIL.Image:DEBUG:2022-10-17 20:09:04,153:Importing PcdImagePlugin
PIL.Image:DEBUG:2022-10-17 20:09:04,154:Importing PcxImagePlugin
PIL.Image:DEBUG:2022-10-17 20:09:04,154:Importing PdfImagePlugin
PIL.Image:DEBUG:2022-10-17 20:09:04,160:Importing PixarImagePlugin
PIL.Image:DEBUG:2022-10-17 20:09:04,160:Importing PngImagePlugin
PIL.Image:DEBUG:2022-10-17 20:09:04,160:Importing PpmImagePlugin
PIL.Image:DEBUG:2022-10-17 20:09:04,161:Importing PsdImagePlugin
PIL.Image:DEBUG:2022-10-17 20:09:04,161:Importing SgiImagePlugin
PIL.Image:DEBUG:2022-10-17 20:09:04,162:Importing SpiderImagePlugin
PIL.Image:DEBUG:2022-10-17 20:09:04,162:Importing SunImagePlugin
PIL.Image:DEBUG:2022-10-17 20:09:04,163:Importing TgaImagePlugin
PIL.Image:DEBUG:2022-10-17 20:09:04,164:Importing TiffImagePlugin
PIL.Image:DEBUG:2022-10-17 20:09:04,164:Importing WebPImagePlugin
PIL.Image:DEBUG:2022-10-17 20:09:04,167:Importing WmfImagePlugin
PIL.Image:DEBUG:2022-10-17 20:09:04,168:Importing XbmImagePlugin
PIL.Image:DEBUG:2022-10-17 20:09:04,169:Importing XpmImagePlugin
PIL.Image:DEBUG:2022-10-17 20:09:04,169:Importing XVThumbImagePlugin
urllib3.connectionpool:DEBUG:2022-10-17 20:10:03,634:Starting new HTTPS connection (1): www.bestbuy.com:443
urllib3.connectionpool:DEBUG:2022-10-17 20:10:11,818:https://www.bestbuy.com:443 "GET /site/martinlogan-motion-4-90-watt-passive-2-way-center-channel-speaker-gloss-black/5870730.p?skuId=5870730&intl=nosplash HTTP/1.1" 200 None
urllib3.connectionpool:DEBUG:2022-10-17 20:10:12,124:Starting new HTTPS connection (1): www.amazon.com:443
urllib3.connectionpool:DEBUG:2022-10-17 20:10:12,585:https://www.amazon.com:443 "GET /JVC-EXOFIELD-Personal-Multi-Channel-Surround/dp/B0899NS7NV/ref=sr_1_19?qid=1665223097&rnid=9977442011&s=electronics&sr=1-19 HTTP/1.1" 200 None
urllib3.connectionpool:DEBUG:2022-10-17 20:10:14,612:Starting new HTTPS connection (1): m.media-amazon.com:443
urllib3.connectionpool:DEBUG:2022-10-17 20:10:14,986:https://m.media-amazon.com:443 "GET /images/W/IMAGERENDERING_521856-T2/images/I/31yfLJJHpML._AC_US40_.jpg HTTP/1.1" 200 636
urllib3.connectionpool:DEBUG:2022-10-17 20:10:15,002:Starting new HTTPS connection (1): pisces.bbystatic.com:443
urllib3.connectionpool:DEBUG:2022-10-17 20:10:15,533:https://pisces.bbystatic.com:443 "GET /image2/BestBuy_US/images/products/5870/5870730_sd.jpg;maxHeight=54;maxWidth=54&intl=nosplash HTTP/1.1" 403 417
PIL.Image:DEBUG:2022-10-17 20:10:15,535:Importing BlpImagePlugin
PIL.Image:DEBUG:2022-10-17 20:10:15,536:Importing BmpImagePlugin
PIL.Image:DEBUG:2022-10-17 20:10:15,536:Importing BufrStubImagePlugin
PIL.Image:DEBUG:2022-10-17 20:10:15,537:Importing CurImagePlugin
PIL.Image:DEBUG:2022-10-17 20:10:15,537:Importing DcxImagePlugin
PIL.Image:DEBUG:2022-10-17 20:10:15,539:Importing DdsImagePlugin
PIL.Image:DEBUG:2022-10-17 20:10:15,539:Importing EpsImagePlugin
PIL.Image:DEBUG:2022-10-17 20:10:15,579:Importing FitsImagePlugin
PIL.Image:DEBUG:2022-10-17 20:10:15,580:Importing FitsStubImagePlugin
PIL.Image:DEBUG:2022-10-17 20:10:15,580:Importing FliImagePlugin
PIL.Image:DEBUG:2022-10-17 20:10:15,581:Importing FpxImagePlugin
PIL.Image:DEBUG:2022-10-17 20:10:15,582:Image: failed to import FpxImagePlugin: No module named 'olefile'
PIL.Image:DEBUG:2022-10-17 20:10:15,582:Importing FtexImagePlugin
PIL.Image:DEBUG:2022-10-17 20:10:15,583:Importing GbrImagePlugin
PIL.Image:DEBUG:2022-10-17 20:10:15,583:Importing GifImagePlugin
PIL.Image:DEBUG:2022-10-17 20:10:15,583:Importing GribStubImagePlugin
PIL.Image:DEBUG:2022-10-17 20:10:15,584:Importing Hdf5StubImagePlugin
PIL.Image:DEBUG:2022-10-17 20:10:15,584:Importing IcnsImagePlugin
PIL.Image:DEBUG:2022-10-17 20:10:15,586:Importing IcoImagePlugin
PIL.Image:DEBUG:2022-10-17 20:10:15,587:Importing ImImagePlugin
PIL.Image:DEBUG:2022-10-17 20:10:15,588:Importing ImtImagePlugin
PIL.Image:DEBUG:2022-10-17 20:10:15,588:Importing IptcImagePlugin
PIL.Image:DEBUG:2022-10-17 20:10:15,589:Importing JpegImagePlugin
PIL.Image:DEBUG:2022-10-17 20:10:15,589:Importing Jpeg2KImagePlugin
PIL.Image:DEBUG:2022-10-17 20:10:15,589:Importing McIdasImagePlugin
PIL.Image:DEBUG:2022-10-17 20:10:15,590:Importing MicImagePlugin
PIL.Image:DEBUG:2022-10-17 20:10:15,591:Image: failed to import MicImagePlugin: No module named 'olefile'
PIL.Image:DEBUG:2022-10-17 20:10:15,591:Importing MpegImagePlugin
PIL.Image:DEBUG:2022-10-17 20:10:15,591:Importing MpoImagePlugin
PIL.Image:DEBUG:2022-10-17 20:10:15,592:Importing MspImagePlugin
PIL.Image:DEBUG:2022-10-17 20:10:15,592:Importing PalmImagePlugin
PIL.Image:DEBUG:2022-10-17 20:10:15,594:Importing PcdImagePlugin
PIL.Image:DEBUG:2022-10-17 20:10:15,594:Importing PcxImagePlugin
PIL.Image:DEBUG:2022-10-17 20:10:15,594:Importing PdfImagePlugin
PIL.Image:DEBUG:2022-10-17 20:10:15,600:Importing PixarImagePlugin
PIL.Image:DEBUG:2022-10-17 20:10:15,601:Importing PngImagePlugin
PIL.Image:DEBUG:2022-10-17 20:10:15,601:Importing PpmImagePlugin
PIL.Image:DEBUG:2022-10-17 20:10:15,601:Importing PsdImagePlugin
PIL.Image:DEBUG:2022-10-17 20:10:15,602:Importing SgiImagePlugin
PIL.Image:DEBUG:2022-10-17 20:10:15,602:Importing SpiderImagePlugin
PIL.Image:DEBUG:2022-10-17 20:10:15,603:Importing SunImagePlugin
PIL.Image:DEBUG:2022-10-17 20:10:15,604:Importing TgaImagePlugin
PIL.Image:DEBUG:2022-10-17 20:10:15,604:Importing TiffImagePlugin
PIL.Image:DEBUG:2022-10-17 20:10:15,604:Importing WebPImagePlugin
PIL.Image:DEBUG:2022-10-17 20:10:15,620:Importing WmfImagePlugin
PIL.Image:DEBUG:2022-10-17 20:10:15,621:Importing XbmImagePlugin
PIL.Image:DEBUG:2022-10-17 20:10:15,622:Importing XpmImagePlugin
PIL.Image:DEBUG:2022-10-17 20:10:15,623:Importing XVThumbImagePlugin
urllib3.connectionpool:DEBUG:2022-10-17 20:12:55,924:Starting new HTTPS connection (1): www.bestbuy.com:443
urllib3.connectionpool:DEBUG:2022-10-17 20:13:03,519:https://www.bestbuy.com:443 "GET /site/martinlogan-motion-4-90-watt-passive-2-way-center-channel-speaker-gloss-black/5870730.p?skuId=5870730&intl=nosplash HTTP/1.1" 200 None
urllib3.connectionpool:DEBUG:2022-10-17 20:13:03,844:Starting new HTTPS connection (1): www.amazon.com:443
urllib3.connectionpool:DEBUG:2022-10-17 20:13:04,559:https://www.amazon.com:443 "GET /JVC-EXOFIELD-Personal-Multi-Channel-Surround/dp/B0899NS7NV/ref=sr_1_19?qid=1665223097&rnid=9977442011&s=electronics&sr=1-19 HTTP/1.1" 200 None
urllib3.connectionpool:DEBUG:2022-10-17 20:13:06,243:Starting new HTTPS connection (1): m.media-amazon.com:443
urllib3.connectionpool:DEBUG:2022-10-17 20:13:06,536:https://m.media-amazon.com:443 "GET /images/I/31yfLJJHpML._AC_US40_.jpg HTTP/1.1" 200 624
urllib3.connectionpool:DEBUG:2022-10-17 20:13:06,552:Starting new HTTPS connection (1): pisces.bbystatic.com:443
urllib3.connectionpool:DEBUG:2022-10-17 20:13:06,673:https://pisces.bbystatic.com:443 "GET /image2/BestBuy_US/images/products/5870/5870730_sd.jpg;maxHeight=54;maxWidth=54&intl=nosplash HTTP/1.1" 403 416
PIL.Image:DEBUG:2022-10-17 20:13:06,674:Importing BlpImagePlugin
PIL.Image:DEBUG:2022-10-17 20:13:06,676:Importing BmpImagePlugin
PIL.Image:DEBUG:2022-10-17 20:13:06,676:Importing BufrStubImagePlugin
PIL.Image:DEBUG:2022-10-17 20:13:06,676:Importing CurImagePlugin
PIL.Image:DEBUG:2022-10-17 20:13:06,677:Importing DcxImagePlugin
PIL.Image:DEBUG:2022-10-17 20:13:06,678:Importing DdsImagePlugin
PIL.Image:DEBUG:2022-10-17 20:13:06,678:Importing EpsImagePlugin
PIL.Image:DEBUG:2022-10-17 20:13:06,717:Importing FitsImagePlugin
PIL.Image:DEBUG:2022-10-17 20:13:06,718:Importing FitsStubImagePlugin
PIL.Image:DEBUG:2022-10-17 20:13:06,718:Importing FliImagePlugin
PIL.Image:DEBUG:2022-10-17 20:13:06,719:Importing FpxImagePlugin
PIL.Image:DEBUG:2022-10-17 20:13:06,720:Image: failed to import FpxImagePlugin: No module named 'olefile'
PIL.Image:DEBUG:2022-10-17 20:13:06,720:Importing FtexImagePlugin
PIL.Image:DEBUG:2022-10-17 20:13:06,721:Importing GbrImagePlugin
PIL.Image:DEBUG:2022-10-17 20:13:06,721:Importing GifImagePlugin
PIL.Image:DEBUG:2022-10-17 20:13:06,721:Importing GribStubImagePlugin
PIL.Image:DEBUG:2022-10-17 20:13:06,722:Importing Hdf5StubImagePlugin
PIL.Image:DEBUG:2022-10-17 20:13:06,722:Importing IcnsImagePlugin
PIL.Image:DEBUG:2022-10-17 20:13:06,724:Importing IcoImagePlugin
PIL.Image:DEBUG:2022-10-17 20:13:06,725:Importing ImImagePlugin
PIL.Image:DEBUG:2022-10-17 20:13:06,725:Importing ImtImagePlugin
PIL.Image:DEBUG:2022-10-17 20:13:06,726:Importing IptcImagePlugin
PIL.Image:DEBUG:2022-10-17 20:13:06,727:Importing JpegImagePlugin
PIL.Image:DEBUG:2022-10-17 20:13:06,727:Importing Jpeg2KImagePlugin
PIL.Image:DEBUG:2022-10-17 20:13:06,727:Importing McIdasImagePlugin
PIL.Image:DEBUG:2022-10-17 20:13:06,728:Importing MicImagePlugin
PIL.Image:DEBUG:2022-10-17 20:13:06,729:Image: failed to import MicImagePlugin: No module named 'olefile'
PIL.Image:DEBUG:2022-10-17 20:13:06,729:Importing MpegImagePlugin
PIL.Image:DEBUG:2022-10-17 20:13:06,729:Importing MpoImagePlugin
PIL.Image:DEBUG:2022-10-17 20:13:06,730:Importing MspImagePlugin
PIL.Image:DEBUG:2022-10-17 20:13:06,730:Importing PalmImagePlugin
PIL.Image:DEBUG:2022-10-17 20:13:06,732:Importing PcdImagePlugin
PIL.Image:DEBUG:2022-10-17 20:13:06,732:Importing PcxImagePlugin
PIL.Image:DEBUG:2022-10-17 20:13:06,732:Importing PdfImagePlugin
PIL.Image:DEBUG:2022-10-17 20:13:06,738:Importing PixarImagePlugin
PIL.Image:DEBUG:2022-10-17 20:13:06,739:Importing PngImagePlugin
PIL.Image:DEBUG:2022-10-17 20:13:06,739:Importing PpmImagePlugin
PIL.Image:DEBUG:2022-10-17 20:13:06,739:Importing PsdImagePlugin
PIL.Image:DEBUG:2022-10-17 20:13:06,740:Importing SgiImagePlugin
PIL.Image:DEBUG:2022-10-17 20:13:06,740:Importing SpiderImagePlugin
PIL.Image:DEBUG:2022-10-17 20:13:06,741:Importing SunImagePlugin
PIL.Image:DEBUG:2022-10-17 20:13:06,741:Importing TgaImagePlugin
PIL.Image:DEBUG:2022-10-17 20:13:06,742:Importing TiffImagePlugin
PIL.Image:DEBUG:2022-10-17 20:13:06,742:Importing WebPImagePlugin
PIL.Image:DEBUG:2022-10-17 20:13:06,745:Importing WmfImagePlugin
PIL.Image:DEBUG:2022-10-17 20:13:06,746:Importing XbmImagePlugin
PIL.Image:DEBUG:2022-10-17 20:13:06,747:Importing XpmImagePlugin
PIL.Image:DEBUG:2022-10-17 20:13:06,748:Importing XVThumbImagePlugin
urllib3.connectionpool:DEBUG:2022-10-17 20:13:06,751:Starting new HTTPS connection (1): m.media-amazon.com:443
urllib3.connectionpool:DEBUG:2022-10-17 20:13:06,818:https://m.media-amazon.com:443 "GET /images/I/31yfLJJHpML._AC_US40_.jpg HTTP/1.1" 200 624
urllib3.connectionpool:DEBUG:2022-10-17 20:13:06,821:Starting new HTTPS connection (1): pisces.bbystatic.com:443
urllib3.connectionpool:DEBUG:2022-10-17 20:13:06,911:https://pisces.bbystatic.com:443 "GET /image2/BestBuy_US/images/products/5870/5870730ld.jpg;maxHeight=54;maxWidth=54&intl=nosplash HTTP/1.1" 403 411
urllib3.connectionpool:DEBUG:2022-10-17 20:13:06,914:Starting new HTTPS connection (1): m.media-amazon.com:443
urllib3.connectionpool:DEBUG:2022-10-17 20:13:06,986:https://m.media-amazon.com:443 "GET /images/I/31yfLJJHpML._AC_US40_.jpg HTTP/1.1" 200 624
urllib3.connectionpool:DEBUG:2022-10-17 20:13:06,990:Starting new HTTPS connection (1): pisces.bbystatic.com:443
urllib3.connectionpool:DEBUG:2022-10-17 20:13:07,135:https://pisces.bbystatic.com:443 "GET /image2/BestBuy_US/images/products/5870/5870730cv11d.jpg;maxHeight=54;maxWidth=54&intl=nosplash HTTP/1.1" 403 415
urllib3.connectionpool:DEBUG:2022-10-17 20:13:07,138:Starting new HTTPS connection (1): m.media-amazon.com:443
urllib3.connectionpool:DEBUG:2022-10-17 20:13:07,229:https://m.media-amazon.com:443 "GET /images/I/31yfLJJHpML._AC_US40_.jpg HTTP/1.1" 200 624
